Land,Year,Series,Value
Guatemala,2010,Arable land (% of total land area),11.1616
Guatemala,2010,Permanent crops (% of total land area),9.0519
Guatemala,2010,Forest cover (% of total land area),34.7331
Guatemala,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),25.3253
Guatemala,2017,Land area (thousand hectares),10716
Guatemala,2017,Arable land (thousand hectares),862
Guatemala,2017,Permanent crops (thousand hectares),1183
Guatemala,2017,Forest cover (thousand hectares),3540
Guatemala,2017,Arable land (% of total land area),8.044
Guatemala,2017,Permanent crops (% of total land area),11.0396
Guatemala,2017,Forest cover (% of total land area),33.0347
Guatemala,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),29.981
Guatemala,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),29.981
Guinea,2005,Land area (thousand hectares),24572
Guinea,2005,Arable land (thousand hectares),2741
Guinea,2005,Permanent crops (thousand hectares),680
Guinea,2005,Forest cover (thousand hectares),6724
Guinea,2005,Arable land (% of total land area),11.155
Guinea,2005,Permanent crops (% of total land area),2.7674
Guinea,2005,Forest cover (% of total land area),27.3645
Guinea,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),71.1545
Guinea,2010,Land area (thousand hectares),24572
Guinea,2010,Arable land (thousand hectares),2900
Guinea,2010,Permanent crops (thousand hectares),700
Guinea,2010,Forest cover (thousand hectares),6544
Guinea,2010,Arable land (% of total land area),11.8021
Guinea,2010,Permanent crops (% of total land area),2.8488
Guinea,2010,Forest cover (% of total land area),26.6319
Guinea,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),71.1545
Guinea,2017,Land area (thousand hectares),24572
Guinea,2017,Arable land (thousand hectares),3100
Guinea,2017,Permanent crops (thousand hectares),700
Guinea,2017,Forest cover (thousand hectares),6364
Guinea,2017,Arable land (% of total land area),12.616
Guinea,2017,Permanent crops (% of total land area),2.8488
Guinea,2017,Forest cover (% of total land area),25.8994
Guinea,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),71.1545
Guinea,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),71.1545
Guinea-Bissau,2005,Land area (thousand hectares),2812
Guinea-Bissau,2005,Arable land (thousand hectares),280
Guinea-Bissau,2005,Permanent crops (thousand hectares),250
Guinea-Bissau,2005,Forest cover (thousand hectares),2072
Guinea-Bissau,2005,Arable land (% of total land area),9.9573
Guinea-Bissau,2005,Permanent crops (% of total land area),8.8905
Guinea-Bissau,2005,Forest cover (% of total land area),73.6842
Guinea-Bissau,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),52.1863
Guinea-Bissau,2010,Land area (thousand hectares),2812
Guinea-Bissau,2010,Arable land (thousand hectares),300
Guinea-Bissau,2010,Permanent crops (thousand hectares),250
Guinea-Bissau,2010,Forest cover (thousand hectares),2022
Guinea-Bissau,2010,Arable land (% of total land area),10.6686
Guinea-Bissau,2010,Permanent crops (% of total land area),8.8905
Guinea-Bissau,2010,Forest cover (% of total land area),71.9061
Guinea-Bissau,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),52.1863
Guinea-Bissau,2017,Land area (thousand hectares),2812
Guinea-Bissau,2017,Arable land (thousand hectares),300
Guinea-Bissau,2017,Permanent crops (thousand hectares),250
Guinea-Bissau,2017,Forest cover (thousand hectares),1972
Guinea-Bissau,2017,Arable land (% of total land area),10.6686
Guinea-Bissau,2017,Permanent crops (% of total land area),8.8905
Guinea-Bissau,2017,Forest cover (% of total land area),70.128
Guinea-Bissau,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),52.5659
Guinea-Bissau,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),52.5659
Guyana,2005,Land area (thousand hectares),19685
Guyana,2005,Arable land (thousand hectares),420
Guyana,2005,Permanent crops (thousand hectares),28
Guyana,2005,Forest cover (thousand hectares),16602
Guyana,2005,Arable land (% of total land area),2.1336
Guyana,2005,Permanent crops (% of total land area),0.1422
Guyana,2005,Forest cover (% of total land area),84.3383
Guyana,2010,Land area (thousand hectares),19685
Guyana,2010,Arable land (thousand hectares),420
Guyana,2010,Permanent crops (thousand hectares),28
Guyana,2010,Forest cover (thousand hectares),16576
Guyana,2010,Arable land (% of total land area),2.1336
Guyana,2010,Permanent crops (% of total land area),0.1422
Guyana,2010,Forest cover (% of total land area),84.2062
Guyana,2017,Land area (thousand hectares),19685
Guyana,2017,Arable land (thousand hectares),420
Guyana,2017,Permanent crops (thousand hectares),50
Guyana,2017,Forest cover (thousand hectares),16526
Guyana,2017,Arable land (% of total land area),2.1336
Guyana,2017,Permanent crops (% of total land area),0.254
Guyana,2017,Forest cover (% of total land area),83.9522
Haiti,2005,Land area (thousand hectares),2756
Haiti,2005,Arable land (thousand hectares),900
Haiti,2005,Permanent crops (thousand hectares),280
Haiti,2005,Forest cover (thousand hectares),105
Haiti,2005,Arable land (% of total land area),32.656
Haiti,2005,Permanent crops (% of total land area),10.1597
Haiti,2005,Forest cover (% of total land area),3.8099
Haiti,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.2788
Haiti,2010,Land area (thousand hectares),2756
Haiti,2010,Arable land (thousand hectares),1100
Haiti,2010,Permanent crops (thousand hectares),280
Haiti,2010,Forest cover (thousand hectares),101
Haiti,2010,Arable land (% of total land area),39.9129
Haiti,2010,Permanent crops (% of total land area),10.1597
Haiti,2010,Forest cover (% of total land area),3.6647
Haiti,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),24.2788
Haiti,2017,Land area (thousand hectares),2756
Haiti,2017,Arable land (thousand hectares),1070
Haiti,2017,Permanent crops (thousand hectares),280
Haiti,2017,Forest cover (thousand hectares),97
Haiti,2017,Arable land (% of total land area),38.8244
Haiti,2017,Permanent crops (% of total land area),10.1597
Haiti,2017,Forest cover (% of total land area),3.5196
Haiti,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),41.0102
Haiti,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.0102
Honduras,2005,Land area (thousand hectares),11189
Honduras,2005,Arable land (thousand hectares),1050
Honduras,2005,Permanent crops (thousand hectares),400
Honduras,2005,Forest cover (thousand hectares),5792
Honduras,2005,Arable land (% of total land area),9.3842
Honduras,2005,Permanent crops (% of total land area),3.5749
Honduras,2005,Forest cover (% of total land area),51.7651
Honduras,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),56.8537
Honduras,2010,Land area (thousand hectares),11189
Honduras,2010,Arable land (thousand hectares),1020
Honduras,2010,Permanent crops (thousand hectares),480
Honduras,2010,Forest cover (thousand hectares),5192
Honduras,2010,Arable land (% of total land area),9.1161
Honduras,2010,Permanent crops (% of total land area),4.2899
Honduras,2010,Forest cover (% of total land area),46.4027
Honduras,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),57.0503
Honduras,2017,Land area (thousand hectares),11189
Honduras,2017,Arable land (thousand hectares),1020
Honduras,2017,Permanent crops (thousand hectares),700
Honduras,2017,Forest cover (thousand hectares),4592
Honduras,2017,Arable land (% of total land area),9.1161
Honduras,2017,Permanent crops (% of total land area),6.2561
Honduras,2017,Forest cover (% of total land area),41.0403
Honduras,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),59.024
Honduras,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),59.0243
Hungary,2005,Land area (thousand hectares),8961
Hungary,2005,Arable land (thousand hectares),4601
Hungary,2005,Permanent crops (thousand hectares),205
Hungary,2005,Forest cover (thousand hectares),1983
Hungary,2005,Arable land (% of total land area),51.3447
Hungary,2005,Permanent crops (% of total land area),2.2877
Hungary,2005,Forest cover (% of total land area),22.1292
Hungary,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),82.4966
Hungary,2010,Land area (thousand hectares),9053
Hungary,2010,Arable land (thousand hectares),4392
Hungary,2010,Permanent crops (thousand hectares),188
Hungary,2010,Forest cover (thousand hectares),2046
Hungary,2010,Arable land (% of total land area),48.5143
Hungary,2010,Permanent crops (% of total land area),2.0767
Hungary,2010,Forest cover (% of total land area),22.6002
Hungary,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),82.5269
Hungary,2017,Land area (thousand hectares),9126
Hungary,2017,Arable land (thousand hectares),4323
Hungary,2017,Permanent crops (thousand hectares),176
Hungary,2017,Forest cover (thousand hectares),2069
Hungary,2017,Arable land (% of total land area),47.3702
Hungary,2017,Permanent crops (% of total land area),1.9286
Hungary,2017,Forest cover (% of total land area),22.6715
Hungary,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),82.5271
Hungary,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),82.5271
Iceland,2005,Land area (thousand hectares),10025
Iceland,2005,Arable land (thousand hectares),129
Iceland,2005,Forest cover (thousand hectares),36.5
Iceland,2005,Arable land (% of total land area),1.2868
Iceland,2005,Forest cover (% of total land area),0.3641
Iceland,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),14.9684
Iceland,2010,Land area (thousand hectares),10025
Iceland,2010,Arable land (thousand hectares),123
Iceland,2010,Forest cover (thousand hectares),42.7
Iceland,2010,Arable land (% of total land area),1.2269
Iceland,2010,Forest cover (% of total land area),0.4259
Iceland,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),16.7038
Iceland,2017,Land area (thousand hectares),10025
Iceland,2017,Arable land (thousand hectares),121
Iceland,2017,Forest cover (thousand hectares),49.2
Iceland,2017,Arable land (% of total land area),1.207
Iceland,2017,Forest cover (% of total land area),0.4908
Iceland,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),19.0802
Iceland,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),19.0802
India,2005,Land area (thousand hectares),297319
India,2005,Arable land (thousand hectares),159444
India,2005,Permanent crops (thousand hectares),10230
India,2005,Forest cover (thousand hectares),67709
India,2005,Arable land (% of total land area),53.6272
India,2005,Permanent crops (% of total land area),3.4407
India,2005,Forest cover (% of total land area),22.7732
India,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),17.7036
India,2010,Land area (thousand hectares),297319
India,2010,Arable land (thousand hectares),157009
India,2010,Permanent crops (thousand hectares),12225
India,2010,Forest cover (thousand hectares),69790
India,2010,Arable land (% of total land area),52.8083
India,2010,Permanent crops (% of total land area),4.1117
India,2010,Forest cover (% of total land area),23.4731
India,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),17.747
India,2017,Land area (thousand hectares),297319
India,2017,Arable land (thousand hectares),156463
India,2017,Permanent crops (thousand hectares),13000
India,2017,Forest cover (thousand hectares),70682
India,2017,Arable land (% of total land area),52.6246
India,2017,Permanent crops (% of total land area),4.3724
India,2017,Forest cover (% of total land area),23.7731
India,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),21.0187
India,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),21.0187
Indonesia,2005,Land area (thousand hectares),181157
Indonesia,2005,Arable land (thousand hectares),22946
Indonesia,2005,Permanent crops (thousand hectares),17900
Indonesia,2005,Forest cover (thousand hectares),97857
Indonesia,2005,Arable land (% of total land area),12.6664
Indonesia,2005,Permanent crops (% of total land area),9.8809
Indonesia,2005,Forest cover (% of total land area),54.0178
Indonesia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),10.6432
Indonesia,2010,Land area (thousand hectares),181157
Indonesia,2010,Arable land (thousand hectares),23600
Indonesia,2010,Permanent crops (thousand hectares),21000
Indonesia,2010,Forest cover (thousand hectares),94432
Indonesia,2010,Arable land (% of total land area),13.0274
Indonesia,2010,Permanent crops (% of total land area),11.5922
Indonesia,2010,Forest cover (% of total land area),52.1272
Indonesia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),17.35
Indonesia,2017,Land area (thousand hectares),187751.9
Indonesia,2017,Arable land (thousand hectares),26300
Indonesia,2017,Permanent crops (thousand hectares),25000
Indonesia,2017,Forest cover (thousand hectares),91010
Indonesia,2017,Arable land (% of total land area),14.0078
Indonesia,2017,Permanent crops (% of total land area),13.3154
Indonesia,2017,Forest cover (% of total land area),48.4735
Indonesia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),26.0122
Indonesia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),26.1137
Iran (Islamic Republic of),2005,Land area (thousand hectares),162876
Iran (Islamic Republic of),2005,Arable land (thousand hectares),16533
Iran (Islamic Republic of),2005,Permanent crops (thousand hectares),1574
Iran (Islamic Republic of),2005,Forest cover (thousand hectares),10691.98
Iran (Islamic Republic of),2005,Arable land (% of total land area),10.1507
Iran (Islamic Republic of),2005,Permanent crops (% of total land area),0.9664
Iran (Islamic Republic of),2005,Forest cover (% of total land area),6.5645
Iran (Islamic Republic of),2005,Important sites for terrestrial biodiversity protected (% of total sites protected),43.5999
Iran (Islamic Republic of),2010,Land area (thousand hectares),162876
Iran (Islamic Republic of),2010,Arable land (thousand hectares),15390
Iran (Islamic Republic of),2010,Permanent crops (thousand hectares),1672.4
Iran (Islamic Republic of),2010,Forest cover (thousand hectares),10691.98
Iran (Islamic Republic of),2010,Arable land (% of total land area),9.4489
Iran (Islamic Republic of),2010,Permanent crops (% of total land area),1.0268
Iran (Islamic Republic of),2010,Forest cover (% of total land area),6.5645
Iran (Islamic Republic of),2010,Important sites for terrestrial biodiversity protected (% of total sites protected),43.5999
Iran (Islamic Republic of),2017,Land area (thousand hectares),162876
Iran (Islamic Republic of),2017,Arable land (thousand hectares),14687
Iran (Islamic Republic of),2017,Permanent crops (thousand hectares),1790
Iran (Islamic Republic of),2017,Forest cover (thousand hectares),10691.98
Iran (Islamic Republic of),2017,Arable land (% of total land area),9.0173
Iran (Islamic Republic of),2017,Permanent crops (% of total land area),1.099
Iran (Islamic Republic of),2017,Forest cover (% of total land area),6.5645
Iran (Islamic Republic of),2017,Important sites for terrestrial biodiversity protected (% of total sites protected),43.5999
Iran (Islamic Republic of),2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.5999
Iraq,2005,Land area (thousand hectares),43737
Iraq,2005,Arable land (thousand hectares),5200
Iraq,2005,Permanent crops (thousand hectares),190
Iraq,2005,Forest cover (thousand hectares),825
Iraq,2005,Arable land (% of total land area),11.8892
Iraq,2005,Permanent crops (% of total land area),0.4344
Iraq,2005,Forest cover (% of total land area),1.8863
Iraq,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),1.6129
Iraq,2010,Land area (thousand hectares),43432
Iraq,2010,Arable land (thousand hectares),4000
Iraq,2010,Permanent crops (thousand hectares),220
Iraq,2010,Forest cover (thousand hectares),825
Iraq,2010,Arable land (% of total land area),9.2098
Iraq,2010,Permanent crops (% of total land area),0.5065
Iraq,2010,Forest cover (% of total land area),1.8995
Iraq,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),2.9599
Iraq,2017,Land area (thousand hectares),43412.8
Iraq,2017,Arable land (thousand hectares),5000
Iraq,2017,Permanent crops (thousand hectares),400
Iraq,2017,Forest cover (thousand hectares),825
Iraq,2017,Arable land (% of total land area),11.5173
Iraq,2017,Permanent crops (% of total land area),0.9214
Iraq,2017,Forest cover (% of total land area),1.9004
Iraq,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),5.8457
Iraq,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),5.8457
Ireland,2005,Land area (thousand hectares),6889
Ireland,2005,Arable land (thousand hectares),1184
Ireland,2005,Permanent crops (thousand hectares),3
Ireland,2005,Forest cover (thousand hectares),694.835
Ireland,2005,Arable land (% of total land area),17.1868
Ireland,2005,Permanent crops (% of total land area),0.0435
Ireland,2005,Forest cover (% of total land area),10.0862
Ireland,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),83.0238
Ireland,2010,Land area (thousand hectares),6889
Ireland,2010,Arable land (thousand hectares),1011
Ireland,2010,Permanent crops (thousand hectares),2
Ireland,2010,Forest cover (thousand hectares),725.635
Ireland,2010,Arable land (% of total land area),14.6756
Ireland,2010,Permanent crops (% of total land area),0.029
Ireland,2010,Forest cover (% of total land area),10.5332
Ireland,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),85.3691
Ireland,2017,Land area (thousand hectares),6889
Ireland,2017,Arable land (thousand hectares),441
Ireland,2017,Permanent crops (thousand hectares),1
Ireland,2017,Forest cover (thousand hectares),754.016
Ireland,2017,Arable land (% of total land area),6.4015
Ireland,2017,Permanent crops (% of total land area),0.0145
Ireland,2017,Forest cover (% of total land area),10.9452
Ireland,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),85.9655
Ireland,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),85.9655
Isle of Man,2005,Land area (thousand hectares),57
Isle of Man,2005,Arable land (thousand hectares),17.81
Isle of Man,2005,Forest cover (thousand hectares),3.46
Isle of Man,2005,Arable land (% of total land area),31.2456
Isle of Man,2005,Forest cover (% of total land area),6.0702
Isle of Man,2010,Land area (thousand hectares),57
Isle of Man,2010,Arable land (thousand hectares),25.38
Isle of Man,2010,Forest cover (thousand hectares),3.46
Isle of Man,2010,Arable land (% of total land area),44.5263
Isle of Man,2010,Forest cover (% of total land area),6.0702
Isle of Man,2017,Land area (thousand hectares),57
Isle of Man,2017,Arable land (thousand hectares),23
Isle of Man,2017,Forest cover (thousand hectares),3.46
Isle of Man,2017,Arable land (% of total land area),40.3509
Isle of Man,2017,Forest cover (% of total land area),6.0702
Israel,2005,Land area (thousand hectares),2164
Israel,2005,Arable land (thousand hectares),311
Israel,2005,Permanent crops (thousand hectares),69.5
Israel,2005,Forest cover (thousand hectares),155
Israel,2005,Arable land (% of total land area),14.3715
Israel,2005,Permanent crops (% of total land area),3.2116
Israel,2005,Forest cover (% of total land area),7.1627
Israel,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),18.2964
Israel,2010,Land area (thousand hectares),2164
Israel,2010,Arable land (thousand hectares),293.6
Israel,2010,Permanent crops (thousand hectares),77.3
Israel,2010,Forest cover (thousand hectares),154
Israel,2010,Arable land (% of total land area),13.5675
Israel,2010,Permanent crops (% of total land area),3.5721
Israel,2010,Forest cover (% of total land area),7.1165
Israel,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),20.2657
Israel,2017,Land area (thousand hectares),2164
Israel,2017,Arable land (thousand hectares),387
Israel,2017,Permanent crops (thousand hectares),96
Israel,2017,Forest cover (thousand hectares),165
Israel,2017,Arable land (% of total land area),17.8835
Israel,2017,Permanent crops (% of total land area),4.4362
Israel,2017,Forest cover (% of total land area),7.6248
Israel,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),20.3349
Israel,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),20.3349
Italy,2005,Land area (thousand hectares),29414
Italy,2005,Arable land (thousand hectares),7780
Italy,2005,Permanent crops (thousand hectares),2554
Italy,2005,Forest cover (thousand hectares),8759
Italy,2005,Arable land (% of total land area),26.45
Italy,2005,Permanent crops (% of total land area),8.6829
Italy,2005,Forest cover (% of total land area),29.7783
Italy,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),73.941
Italy,2010,Land area (thousand hectares),29414
Italy,2010,Arable land (thousand hectares),7042
Italy,2010,Permanent crops (thousand hectares),2587.8
Italy,2010,Forest cover (thousand hectares),9028
Italy,2010,Arable land (% of total land area),23.941
Italy,2010,Permanent crops (% of total land area),8.7979
Italy,2010,Forest cover (% of total land area),30.6929
Italy,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),77.3414
Italy,2017,Land area (thousand hectares),29414
Italy,2017,Arable land (thousand hectares),6736.27
Italy,2017,Permanent crops (thousand hectares),2482
Italy,2017,Forest cover (thousand hectares),9297
Italy,2017,Arable land (% of total land area),22.9016
Italy,2017,Permanent crops (% of total land area),8.4382
Italy,2017,Forest cover (% of total land area),31.6074
Italy,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),77.3489
Italy,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),77.3489
Jamaica,2005,Land area (thousand hectares),1083
Jamaica,2005,Arable land (thousand hectares),128
Jamaica,2005,Permanent crops (thousand hectares),110
Jamaica,2005,Forest cover (thousand hectares),339.2
Jamaica,2005,Arable land (% of total land area),11.819
Jamaica,2005,Permanent crops (% of total land area),10.157
Jamaica,2005,Forest cover (% of total land area),31.3204
Jamaica,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),29.4381
Jamaica,2010,Land area (thousand hectares),1083
Jamaica,2010,Arable land (thousand hectares),120
Jamaica,2010,Permanent crops (thousand hectares),95
Jamaica,2010,Forest cover (thousand hectares),337.1
Jamaica,2010,Arable land (% of total land area),11.0803
Jamaica,2010,Permanent crops (% of total land area),8.7719
Jamaica,2010,Forest cover (% of total land area),31.1265
Jamaica,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),29.4396
Jamaica,2017,Land area (thousand hectares),1083
Jamaica,2017,Arable land (thousand hectares),120
Jamaica,2017,Permanent crops (thousand hectares),95
Jamaica,2017,Forest cover (thousand hectares),335.2
Jamaica,2017,Arable land (% of total land area),11.0803
Jamaica,2017,Permanent crops (% of total land area),8.7719
Jamaica,2017,Forest cover (% of total land area),30.9511
Jamaica,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),29.4569
Jamaica,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),29.4569
Japan,2005,Land area (thousand hectares),36450
Japan,2005,Arable land (thousand hectares),4360
Japan,2005,Permanent crops (thousand hectares),332
Japan,2005,Forest cover (thousand hectares),24935
Japan,2005,Arable land (% of total land area),11.9616
Japan,2005,Permanent crops (% of total land area),0.9108
Japan,2005,Forest cover (% of total land area),68.4088
Japan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),60.3636
Japan,2010,Land area (thousand hectares),36455
Japan,2010,Arable land (thousand hectares),4282
Japan,2010,Permanent crops (thousand hectares),311
Japan,2010,Forest cover (thousand hectares),24966
Japan,2010,Arable land (% of total land area),11.746
Japan,2010,Permanent crops (% of total land area),0.8531
Japan,2010,Forest cover (% of total land area),68.4844
Japan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),60.8654
Japan,2017,Land area (thousand hectares),36456
Japan,2017,Arable land (thousand hectares),4161
Japan,2017,Permanent crops (thousand hectares),283
Japan,2017,Forest cover (thousand hectares),24958
Japan,2017,Arable land (% of total land area),11.4138
Japan,2017,Permanent crops (% of total land area),0.7763
Japan,2017,Forest cover (% of total land area),68.4606
Japan,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),64.8271
Japan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),64.8271
Jordan,2005,Land area (thousand hectares),8824
Jordan,2005,Arable land (thousand hectares),185
Jordan,2005,Permanent crops (thousand hectares),86
Jordan,2005,Forest cover (thousand hectares),97.5
Jordan,2005,Arable land (% of total land area),2.0966
Jordan,2005,Permanent crops (% of total land area),0.9746
Jordan,2005,Forest cover (% of total land area),1.1049
Jordan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),7.0838
Jordan,2010,Land area (thousand hectares),8878
Jordan,2010,Arable land (thousand hectares),177.6
Jordan,2010,Permanent crops (thousand hectares),82.7
Jordan,2010,Forest cover (thousand hectares),97.5
Jordan,2010,Arable land (% of total land area),2.0005
Jordan,2010,Permanent crops (% of total land area),0.9315
Jordan,2010,Forest cover (% of total land area),1.0982
Jordan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),7.3275
Jordan,2017,Land area (thousand hectares),8878
Jordan,2017,Arable land (thousand hectares),187
Jordan,2017,Permanent crops (thousand hectares),78
Jordan,2017,Forest cover (thousand hectares),97.5
Jordan,2017,Arable land (% of total land area),2.1063
Jordan,2017,Permanent crops (% of total land area),0.8786
Jordan,2017,Forest cover (% of total land area),1.0982
Jordan,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),10.2299
Jordan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),13.4833
Kazakhstan,2005,Land area (thousand hectares),269970
Kazakhstan,2005,Arable land (thousand hectares),28562.3
Kazakhstan,2005,Permanent crops (thousand hectares),115.7
Kazakhstan,2005,Forest cover (thousand hectares),3337
Kazakhstan,2005,Arable land (% of total land area),10.5798
Kazakhstan,2005,Permanent crops (% of total land area),0.0429
Kazakhstan,2005,Forest cover (% of total land area),1.2361
Kazakhstan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),9.1587
Kazakhstan,2010,Land area (thousand hectares),269970
Kazakhstan,2010,Arable land (thousand hectares),28683.8
Kazakhstan,2010,Permanent crops (thousand hectares),116.3
Kazakhstan,2010,Forest cover (thousand hectares),3309
Kazakhstan,2010,Arable land (% of total land area),10.6248
Kazakhstan,2010,Permanent crops (% of total land area),0.0431
Kazakhstan,2010,Forest cover (% of total land area),1.2257
Kazakhstan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),10.4112
Kazakhstan,2017,Land area (thousand hectares),269970
Kazakhstan,2017,Arable land (thousand hectares),29395
Kazakhstan,2017,Permanent crops (thousand hectares),132
Kazakhstan,2017,Forest cover (thousand hectares),3309
Kazakhstan,2017,Arable land (% of total land area),10.8882
Kazakhstan,2017,Permanent crops (% of total land area),0.0489
Kazakhstan,2017,Forest cover (% of total land area),1.2257
Kazakhstan,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),11.1483
Kazakhstan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),11.1483
Kenya,2005,Land area (thousand hectares),56914
Kenya,2005,Arable land (thousand hectares),5264
Kenya,2005,Permanent crops (thousand hectares),438
Kenya,2005,Forest cover (thousand hectares),4047
Kenya,2005,Arable land (% of total land area),9.249
Kenya,2005,Permanent crops (% of total land area),0.7696
Kenya,2005,Forest cover (% of total land area),7.1107
Kenya,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.2428
Kenya,2010,Land area (thousand hectares),56914
Kenya,2010,Arable land (thousand hectares),5500
Kenya,2010,Permanent crops (thousand hectares),520
Kenya,2010,Forest cover (thousand hectares),4230
Kenya,2010,Arable land (% of total land area),9.6637
Kenya,2010,Permanent crops (% of total land area),0.9137
Kenya,2010,Forest cover (% of total land area),7.4323
Kenya,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),34.3582
Kenya,2017,Land area (thousand hectares),56914
Kenya,2017,Arable land (thousand hectares),5800
Kenya,2017,Permanent crops (thousand hectares),530
Kenya,2017,Forest cover (thousand hectares),4413
Kenya,2017,Arable land (% of total land area),10.1908
Kenya,2017,Permanent crops (% of total land area),0.9312
Kenya,2017,Forest cover (% of total land area),7.7538
Kenya,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),34.518
Kenya,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),34.518
Kiribati,2005,Land area (thousand hectares),81
Kiribati,2005,Arable land (thousand hectares),2
Kiribati,2005,Permanent crops (thousand hectares),32
Kiribati,2005,Forest cover (thousand hectares),12.15
Kiribati,2005,Arable land (% of total land area),2.4691
Kiribati,2005,Permanent crops (% of total land area),39.5062
Kiribati,2005,Forest cover (% of total land area),15
Kiribati,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Kiribati,2010,Land area (thousand hectares),81
Kiribati,2010,Arable land (thousand hectares),2
Kiribati,2010,Permanent crops (thousand hectares),32
Kiribati,2010,Forest cover (thousand hectares),12.15
Kiribati,2010,Arable land (% of total land area),2.4691
Kiribati,2010,Permanent crops (% of total land area),39.5062
Kiribati,2010,Forest cover (% of total land area),15
Kiribati,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40
Kiribati,2017,Land area (thousand hectares),81
Kiribati,2017,Arable land (thousand hectares),2
Kiribati,2017,Permanent crops (thousand hectares),32
Kiribati,2017,Forest cover (thousand hectares),12.15
Kiribati,2017,Arable land (% of total land area),2.4691
Kiribati,2017,Permanent crops (% of total land area),39.5062
Kiribati,2017,Forest cover (% of total land area),15
Kiribati,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),40
Kiribati,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),40
Kuwait,2005,Land area (thousand hectares),1782
